ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001437749-24-030067	/s/ Robert P. Capps, Attorney- in-Fact for Peter H. Blum	26-SEP-2024
0001683168-24-006676	/s/ Heather Novitsky, as Attorney-in-Fact for Scott Peyree	26-SEP-2024
0001437749-24-030066	/s/ Robert P. Capps, Attorney- in-Fact for Robert P. Capps	26-SEP-2024
0001437749-24-030065	/s/ Robert P. Capps, Attorney- in-Fact for Thomas S. Glanville	26-SEP-2024
0001437749-24-030064	/s/ Robert P. Capps, Attorney- in-Fact for William H. Hilarides	26-SEP-2024
0001465740-24-000188	/s/ James D. Campbell	26-SEP-2024
0001127602-24-024488	/s/ Kellye Clouse	26-SEP-2024
0001610717-24-000495	/s/ Lesley Ann Calhoun, as attorney-in fact for Hardean Achneck	26-SEP-2024
0001104659-24-103148	/s/ Warren B. Kanders	26-SEP-2024
0001104659-24-103147	/s/ Heather C. Getz, Attorney-in-Fact	26-SEP-2024
0000950170-24-109638	/s/ Michael Schultz, Attorney-in-Fact for Daniel De Lorenzo	26-SEP-2024
0001104659-24-103144	/s/ Lucas Stewart, attorney in fact	26-SEP-2024
0001950665-24-000001	/s/ Claudia Janez	26-SEP-2024
0001415889-24-023992	Tobias Fischli, Authorized Signatory	26-SEP-2024
0000075288-24-000063	/s/ Suraj A. Palakshappa, Attorney-in-Fact	26-SEP-2024
0001398344-24-018210	/s/ Stephanie Darling, as POA for Phillip Goldstein	26-SEP-2024
0001562180-24-006954	/s/ Julie Shah, Attorney-in-Fact for Richard Mulligan	26-SEP-2024
0000929638-24-003241	/s/ Andrew C. Carington	26-SEP-2024
0001376474-24-000545	/s/ Vladimir Galkin, Attorney in Fact	26-SEP-2024
0001398344-24-018209	/s/ Stephanie Darling, as POA for Andrew Dakos	26-SEP-2024
0001213900-24-082239	/s/ Christian Bruhlmann	26-SEP-2024
0001213900-24-082238	/s/ Ralph Schiess	26-SEP-2024
0000950170-24-109628	/s/ Brian Savage, Attorney-in-fact	26-SEP-2024
0001591698-24-000247	/s/ Kris Kang, attorney-in-fact to Nicholas Rost	26-SEP-2024
0001683168-24-006669	/s/ David C. Kuo	26-SEP-2024
0001127602-24-024484	/s/ Lynn Carino, attorney-in-fact for Mr. Kohlhagen	26-SEP-2024
0000939057-24-000272	/s/Cheryl Parks, Power of Attorney for Robert A. Drugge	26-SEP-2024
0000950170-24-109608	/s/ Celia Perez, as attorney in fact	26-SEP-2024
0001127602-24-024481	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0000945621-24-000775	/s/ Saul B. Rosenthal, President	26-SEP-2024
0000752642-24-000090	Nelli Madden	26-SEP-2024
0001127602-24-024479	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0000945621-24-000773	/s/ Saul B. Rosenthal, President	26-SEP-2024
0001127602-24-024477	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0001493152-24-038289	Opaleye Management Inc., By: /s/ James Silverman, President	26-SEP-2024
0001628280-24-041347	By:  Stephen T. Wilson, Esq. (Attorney-In-Fact)	26-SEP-2024
0001510281-24-000489	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0001510281-24-000489	Boaz Weinstein	26-SEP-2024
0001510281-24-000488	Boaz Weinstein	26-SEP-2024
0001510281-24-000488	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0001510281-24-000487	Boaz Weinstein	26-SEP-2024
0001510281-24-000487	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0000752642-24-000089	Nelli Madden	26-SEP-2024
0001510281-24-000486	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0001510281-24-000486	Boaz Weinstein	26-SEP-2024
0001510281-24-000485	Boaz Weinstein	26-SEP-2024
0001510281-24-000485	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0001510281-24-000484	Boaz Weinstein	26-SEP-2024
0001510281-24-000484	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0001127602-24-024474	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0001050441-24-000125	Evelyn K. Lee	26-SEP-2024
0001437749-24-030056	/s/ Victor Cangelosi, pursuant to power of attorney	26-SEP-2024
0001127602-24-024471	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0001510281-24-000483	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0001510281-24-000483	Boaz Weinstein	26-SEP-2024
0001127602-24-024468	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0001127602-24-024466	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0001510281-24-000482	Boaz Weinstein	26-SEP-2024
0001510281-24-000482	Saba Capital Management, L.P. By: Zachary Gindes	26-SEP-2024
0001127602-24-024464	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0001415889-24-023989	/s/ Jeffrey D. Fisher, Attorney-in-Fact	26-SEP-2024
0001127602-24-024461	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0001127602-24-024459	/s/ Donna T. Rossi, attorney-in-fact	26-SEP-2024
0000752642-24-000088	Nelli Madden	26-SEP-2024
0000752642-24-000087	Nelli Madden	26-SEP-2024
0000894579-24-000245	/s/ Robert A. Spiro	26-SEP-2024
0000897101-24-000473	By: Christopher A. Rauschl For: Jorge A Uribe	26-SEP-2024
0000752642-24-000086	Nelli Madden	26-SEP-2024
0000897101-24-000472	By: Christopher A. Rauschl For: Eric D Sprunk	26-SEP-2024
0000897101-24-000471	By: Christopher A. Rauschl For: Maria Sastre	26-SEP-2024
0002028304-24-000001	/s/ Julie E. Benes, as Attorney-In-Fact for Charles A. Bunch	26-SEP-2024
0000897101-24-000470	By: Christopher A. Rauschl For: Stephen A Odland	26-SEP-2024
0000897101-24-000469	By: Christopher A. Rauschl For: Diane Neal	26-SEP-2024
0000752642-24-000085	Nelli Madden	26-SEP-2024
0000950170-24-109554	/s/Amanda Coussens, as Attorney in Fact for the Reporting Person	26-SEP-2024
0000897101-24-000468	By: Christopher A. Rauschl For: John George Morikis	26-SEP-2024
0000897101-24-000467	By: Christopher A. Rauschl For: Elizabeth C Lempres	26-SEP-2024
0000897101-24-000466	By: Christopher A. Rauschl For: Jo Ann Jenkins	26-SEP-2024
0000897101-24-000465	By: Christopher A. Rauschl For: Maria G Henry	26-SEP-2024
0000897101-24-000464	By: Christopher A. Rauschl For: Kim Goodwin	26-SEP-2024
0000897101-24-000463	By: Christopher A. Rauschl For: Benno Oskar Dorer	26-SEP-2024
0001225208-24-008844	Anthony G. Morrow, Attorney-in-fact for Madonna, John W.	26-SEP-2024
0001225208-24-008842	Anthony G. Morrow, Attorney-in-fact for Madonna, John W.	26-SEP-2024
0000939057-24-000271	/s/Cheryl Parks, Power of Attorney for Robert A. Drugge	26-SEP-2024
0001835681-24-000109	/s/ Eric Shander, by Power of Attorney	26-SEP-2024
0001127602-24-024451	/s/ Gordon G. Repp attorney-in-fact for Lynn C. Thurber	26-SEP-2024
0001127602-24-024449	/s/ Gordon G. Repp, as attorney-in-fact for C. Allan Swaringen	26-SEP-2024
0001127602-24-024447	/s/ Gordon G. Repp, attorney-in-fact for Douglas A. Lindgren	26-SEP-2024
0000939057-24-000270	/s/Cheryl Parks, Power of Attorney for Jonathan A. Fischer	25-SEP-2024
0001127602-24-024445	/s/ Gordon G. Repp attorney-in-fact for Jacques Gordon	26-SEP-2024
0001127602-24-024443	/s/ Gordon G. Repp, attorney-in-fact for Tamara D. Fischer	26-SEP-2024
0000950170-24-109521	/s/ Mark Hoyla, Attorney-in-Fact for Charles Thomas McMillen	26-SEP-2024
0001127602-24-024441	/s/ Gordon G. Repp attorney-in-fact for Russell Martel Day	26-SEP-2024
0000939057-24-000269	/s/ Cheryl Parks, Power of Attorney for Breanne D. Antich	24-SEP-2024
0000939057-24-000268	/s/Cheryl Parks, Power of Attorney for Kathy D. Leodler	25-SEP-2024
0001415889-24-023985	/s/ Brian S. Lam	26-SEP-2024
0000939057-24-000267	/s/ Cheryl Parks, Power of Attorney for Marci A. Basich	24-SEP-2024
0001096906-24-001890	/s/ Andrew Quist	26-SEP-2024
0000939057-24-000266	/s/Cheryl Parks, Power of Attorney for David Alan Smith	25-SEP-2024
0001437749-24-030030	/s/ Jay Kesslen, attorney-in-fact	26-SEP-2024
0000939057-24-000265	/s/ Cheryl Parks Power of Attorney for Parul Bhandari	25-SEP-2024
0000939057-24-000264	/s/Cheryl Parks, Power of Attorney for Michael J. Stoney	25-SEP-2024
0001062993-24-016996	/s/ Kaile A. Zagger	26-SEP-2024
0000939057-24-000263	/s/ Cheryl Parks Power of Attorney for Dean J. Brydon	25-SEP-2024
0001437749-24-030026	/s/ Jay Kesslen, attorney-in-fact	26-SEP-2024
0001437749-24-030025	/s/ Elizabeth Alcaine	26-SEP-2024
0000939057-24-000262	/s/ Cheryl Parks, Power of Attorney for Andrea M. Clinton	25-SEP-2024
0000939057-24-000261	/s/Cheryl Parks, Power of Attorney for Kelly Sutter	25-SEP-2024
0000939057-24-000260	/s/ Cheryl Parks, Power of Attorney for Matthew J. DeBord	25-SEP-2024
0000939057-24-000259	/s/Cheryl Parks, Power of Attorney for Todd Van Cise	25-SEP-2024
0001373604-24-000098	Braden Michael Leonard	26-SEP-2024
0001493152-24-038228	/s/ Mao Zhang	26-SEP-2024
0000950170-24-109477	/s/Patrick J. Kennedy, as attorney-in-fact for Joseph B. Hayek	26-SEP-2024
0001493152-24-038226	/s/ Mao Zhang	26-SEP-2024
0001493152-24-038226	/s/ Mao Zhang, Director of StellarS Capital Private I Limited	26-SEP-2024
0001864991-24-000058	Paul Purcell	26-SEP-2024
0001040130-24-000099	/s/ Robyn D'Elia	26-SEP-2024
0001376474-24-000541	/s/ Vladimir Galkin, Attorney in Fact	25-SEP-2024
0001104659-24-103002	/s/ Andrew Taylor, Attorney-in-Fact	26-SEP-2024
0000905148-24-002585	/s/ Stephen H. Deckoff	25-SEP-2024
0000905148-24-002585	Black Diamond Capital Management, L.L.C., By: /s/ Stephen H. Deckoff, Managing Principal	25-SEP-2024
0001787306-24-000133	/s/ Masaru Matsuda, Attorney-in-Fact, for David Topper	25-SEP-2024
0002001011-24-000089	/s/ Andrew Reardon	25-SEP-2024
0000950157-24-001296	/s/ Nicole Maddrey, attorney-in-fact	25-SEP-2024
0000950157-24-001295	/s/ Nicole Maddrey, attorney-in-fact	25-SEP-2024
0000950170-24-109450	/s/Mark Sullivan, Attorney-in-Fact for Carrie Liao	25-SEP-2024
0000950170-24-109449	/s/ Mark Sullivan, Attorney-in-Fact for Robert Barrow	25-SEP-2024
0000950170-24-109448	/s/Mark Sullivan, Attorney-in-Fact for Dan Karlin	25-SEP-2024
0001437749-24-030008	/s/ T. Ronan Kennedy	25-SEP-2024
0000950170-24-109447	/s/ Mark Sullivan	25-SEP-2024
0000950170-24-109441	By: /s/ Colin T. Moran as managing member of Abdiel Capital Partners, LLC, general partner of Abdiel Capital Advisors, LP	25-SEP-2024
0000950170-24-109441	By: /s/ Colin T. Moran as managing member of Abdiel Capital Management, LLC, general partner of Abdiel Qualified Master Fund, LP	25-SEP-2024
0000950170-24-109441	By: /s/ Colin T. Moran, individually	25-SEP-2024
0000950170-24-109441	By: /s/ Colin T. Moran as managing member of Abdiel Capital Management, LLC	25-SEP-2024
0000950170-24-109441	By: /s/ Colin T. Moran as managing member of Abdiel Capital Partners, LLC, managing member of Abdiel Partners, LLC	25-SEP-2024
0000950170-24-109441	By: /s/ Colin T. Moran as managing member of Abdiel Capital Management, LLC, general partner of Abdiel Capital, LP	25-SEP-2024
0000950170-24-109438	/s/ Justin Johnson, General Counsel, Sr. Vice President & Secretary	25-SEP-2024
0000950170-24-109438	/s/ Justin Johnson, General Counsel, Sr. Vice President & Secretary	25-SEP-2024
0001213900-24-081905	/s/ Janice K. Smith	25-SEP-2024
0001645873-24-000143	/s/ John Raney, by Power of Attorney for Christopher R. Gingras	25-SEP-2024
0001321655-24-000179	/s/ Scott S. Hsu, under power of attorney	25-SEP-2024
0001321655-24-000178	/s/ Justin V. Laubach, under power of attorney	25-SEP-2024
0001713445-24-000088	/s/ Julie Rogers, Attorney-in-Fact	25-SEP-2024
0001140361-24-041925	/s/ Lisa Storey, Attorney-in-fact	25-SEP-2024
0001140361-24-041923	/s/ Lisa Storey, Attorney-in-fact	25-SEP-2024
0001771340-24-000004	By: Aaron Beckman, Power of Attorney For: Vaibhav Taneja	25-SEP-2024
0000939767-24-000132	/s/ Nina Ayer, Attorney in Fact	25-SEP-2024
0001477720-24-000090	/s/ Katie Colendich, Attorney-in-Fact	25-SEP-2024
0001493152-24-038181	/s/ LeeAnn Rohmann	25-SEP-2024
0001493152-24-038182	/s/ LeeAnn Rohmann, Attorney-in-Fact for Peggy Tiderman	25-SEP-2024
0001493152-24-038178	/s/ LeeAnn Rohmann, Attorney-in-Fact for Blaine Faulkner	25-SEP-2024
0001493152-24-038180	/s/ Brandon Pope	25-SEP-2024
0001493152-24-038177	/s/ LeeAnn Rohmann, Attorney-in-Fact for Gerald Amato	25-SEP-2024
0001493152-24-038179	/s/ LeeAnn Rohmann, Attorney-in-Fact for Ragheb Milad	25-SEP-2024
0000950170-24-109433	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0001437749-24-030006	/s/ Lewis Titterton	25-SEP-2024
0000950170-24-109430	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0000950170-24-109429	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0000950170-24-109428	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0000950170-24-109424	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0000950170-24-109421	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0000950170-24-109420	/s/ Ryan Stahl	25-SEP-2024
0000950170-24-109419	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0000950170-24-109418	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0000950170-24-109417	/s/ Douglas Towns Attorney-in-Fact	25-SEP-2024
0001415889-24-023981	/s/ Remie Solano, Attorney-in-Fact	25-SEP-2024
0001415889-24-023980	/s/ Remie Solano, Attorney-in-Fact	25-SEP-2024
0001415889-24-023979	/s/ Remie Solano, Attorney-in-Fact	25-SEP-2024
0001415889-24-023978	/s/ Remie Solano, Attorney-in-Fact	25-SEP-2024
0001415889-24-023977	/s/ Remie Solano, Attorney-in-Fact	25-SEP-2024
0001415889-24-023975	/s/ Jennifer J. Rhodes, Attorney-in-Fact	25-SEP-2024
0001477720-24-000088	/s/ Katie Colendich, Attorney-in-Fact	25-SEP-2024
0001443646-24-000190	By: /s/ Jamie Weatherby as attorney-in-fact for Matthew Calderone	25-SEP-2024
0001024305-24-000042	/s/ Christina Kiely, Attorney-in-Fact	25-SEP-2024
0001415889-24-023974	/s/ Jennifer J. Rhodes, Attorney-in-Fact	25-SEP-2024
0001024305-24-000041	/s/ Christina Kiely, Attorney-in-Fact	25-SEP-2024
0001024305-24-000040	/s/ Christina Kiely Attorney-in-fact	25-SEP-2024
0000905148-24-002584	/s/ John Leone - for PineBridge GEM II G.P., L.P., By: PineBridge GEM II G.P., Co, its general partner, By: John Leone, Vice President	25-SEP-2024
0000905148-24-002584	/s/ John Leone - for PineBridge Global Emerging Markets Partners II, L.P., By: PineBridge GEM II GP Ltd., its GP, By PineBridge GEM II G.P., L.P., its sole director, By PineBridge GEM II G.P., Co., its GP, By: John Leone, Vice President	25-SEP-2024
0000905148-24-002584	/s/ John Leone	25-SEP-2024
0000905148-24-002584	/s/ Lindsay Johnson - as Attorney-in-Fact for Kevin Clowe	25-SEP-2024
0000905148-24-002584	/s/ Lindsay Johnson - as Attorney-in-Fact for Pierre Mellinger	25-SEP-2024
0001024305-24-000039	/s/ Christina Kiely Attorney-in-fact	25-SEP-2024
0000950170-24-109410	/s/ Ali D. Fawaz, Attorney-in-Fact	25-SEP-2024
0000929638-24-003233	CORMORANT PRIVATE HEALTHCARE FUND V, LP By: Cormorant Private Healthcare GP V, LLC, its General Partner By: /s/ Bihua Chen, Managing Member	25-SEP-2024
0000929638-24-003233	CORMORANT PRIVATE HEALTHCARE FUND IV, LP  By: Cormorant Private Healthcare GP IV, LLC, its General Partner By: /s/ Bihua Chen, Managing Member	25-SEP-2024
0000929638-24-003233	CORMORANT ASSET MANAGEMENT, LP By: /s/ Bihua Chen, Managing Member	25-SEP-2024
0000929638-24-003233	BIHUA CHEN By: /s/ Bihua Chen, Individually	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C.	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C., the General Partner of EnerVest, Ltd., the sole member of EVFA GP XIV, LLC, the Managing General Partner of EnerVest Energy Institutional Fund XIV-A, L.P.	25-SEP-2024
0001104659-24-102887	/s/ Travis W. Hancock, Senior Vice President & Chief Financial Officer, EnerVest Operating, L.L.C., the General Partner of EnerVest Holding, L.P., the sole member of EnerVest Investment Services, L.L.C.	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C., the General Partner of EnerVest, Ltd.	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C., the General Partner of EnerVest, Ltd., the sole member of EVFA XIV-3A, LLC, the Managing General Partner of EnerVest Energy Institutional Fund XIV-3A, L.P.	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C., the General Partner of EnerVest, Ltd., the sole member of EnerVest Holding XIV, LLC, the General Partner of EnerVest Energy Institutional Fund XIV-WIC, L.P.	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C., the General Partner of EnerVest, Ltd., the sole member of EVFC GP XIV, LLC, the Managing General Partner of EnerVest Energy Institutional Fund XIV-C, L.P.	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C., the General Partner of EnerVest, Ltd., the sole member of EVFC GP XIV, LLC, the Managing General Partner of EnerVest Energy Institutional Fund XIV-C-AIV, L.P.	25-SEP-2024
0001104659-24-102887	/s/ Jud Walker, President & Chief Executive Officer, EnerVest Management GP, L.C., the General Partner of EnerVest, Ltd., the sole member of EVFA XIV-2A, LLC, the Managing General Partner of EnerVest Energy Institutional Fund XIV-2A, L.P.	25-SEP-2024
0000950142-24-002450	/s/ See Signatures Included in Exhibit 99.1	25-SEP-2024
0001213900-24-081884	/s/ Demetrios (Jimmy) Vaiopoulos	25-SEP-2024
0001104659-24-102885	/s/ John B. Walker	25-SEP-2024
0001493152-24-038166	/s/ Kent Schofield, Director	25-SEP-2024
0001808805-24-000067	/s/ Matthew Murphy, as Attorney-in-Fact	25-SEP-2024
0001415889-24-023973	/s/ Kimberly Shea, Attorney-in-Fact for Maurice J. Duca	25-SEP-2024
0000950170-24-109406	/s/ Ernest C. Garcia II, ECG II SPE, LLC	25-SEP-2024
0000950170-24-109406	/s/ Ernest C. Garcia II	25-SEP-2024
0001628280-24-041314	/s/ Kevin Whitman, Attorney-in-Fact for Kenneth D. Eichenbaum	25-SEP-2024
0000899140-24-001039	/s/Anil Doradla, by power of attorney	25-SEP-2024
0000950103-24-013949	/s/ Erin Guldiken, attorney-in-fact for Christopher K. Cox	25-SEP-2024
0001608828-24-000054	/s/ David Searle by Power of Attorney	25-SEP-2024
0001608828-24-000052	/s/ David Searle by Power of Attorney	25-SEP-2024
0001608828-24-000050	/s/ David Searle by Power of Attorney	25-SEP-2024
0001744489-24-000238	/s/ Karen Young, as attorney-in-fact	25-SEP-2024
0001608828-24-000048	/s/ David Searle by Power of Attorney	25-SEP-2024
0000937098-24-000172	/s/ Sheryl Southwick, Attorney-in-fact	25-SEP-2024
0000950170-24-109397	/s/ Joshua B. Cohen	25-SEP-2024
0001474506-24-000216	/s/ Nelson Mullins Riley & Scarborough LLP, Attorney-in-Fact	25-SEP-2024
0001628280-24-041311	/s/ Ramune M. Kligys by PoA of Tina W. Jonas	25-SEP-2024
0000950170-24-109395	/s/ Matthew Paque, attorney-in-fact	25-SEP-2024
0001415889-24-023971	/s/ Yukio Morikubo, Attorney in fact for Cathal G. Phelan	25-SEP-2024
0001415889-24-023970	/s/ Yukio Morikubo, Attorney-in-fact on behalf of Hussein Mecklai	25-SEP-2024
0001415889-24-023969	/s/ Yukio Morikubo, Attorney-in-fact on behalf of Jeffrey Dossett	25-SEP-2024
0001562180-24-006952	J. P. Baetzhold, Attorney in Fact	25-SEP-2024
0001415889-24-023968	/s/ Yukio Morikubo, Attorney in fact for Chris Diorio	25-SEP-2024
0001415889-24-023967	/s/ Yukio Morikubo, Attorney in fact for Cary Baker	25-SEP-2024
0001529274-24-000193	/s/ Douglas A. Linebarger, as Attorney-in-Fact for W. Bryan Hill	25-SEP-2024
0001127602-24-024439	Michael C. Keefe, attorney-in-fact for Michael J. Lange	25-SEP-2024
0001499832-24-000120	/s/**Allison Zolot as Attorney-in-Fact for Erik Hellum	25-SEP-2024
0000072333-24-000114	Brian B. DeFoe, Attorney-in-Fact for Alexis DePree	25-SEP-2024
0001047127-24-000195	Mark N. Rogers, Attorney-in-Fact for Susan Y. Kim	25-SEP-2024
0001104659-24-102868	/s/ Mark Gatto	25-SEP-2024
0001104659-24-102867	/s/ Michael A. Reisner	25-SEP-2024
0001829126-24-006465	/s/ Marilyn Elson Name: Marilyn Elson	25-SEP-2024
0001829126-24-006465	/s/ Leonard Osser Name: Leonard Osser	25-SEP-2024
0001829126-24-006464	/s/ Marilyn Elson Name: Marilyn Elson	25-SEP-2024
0001829126-24-006464	/s/ Leonard Osser Name: Leonard Osser	25-SEP-2024
0001213900-24-081870	/s/ Menachem Shalom	25-SEP-2024
0000897069-24-001890	Philip N. Garfinkle by John J. Wolfel, as Attorney-in-Fact	25-SEP-2024
0001562180-24-006950	/s/ Veena Bhatia, Attorney-in-Fact for Farquhar Scott	25-SEP-2024
0001562180-24-006949	/s/ Veena Bhatia, Attorney-in-Fact for Cannon-Brookes Michael	25-SEP-2024
0001828318-24-000205	/s/ Arthi Chakravarthy	25-SEP-2024
0001104659-24-102850	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001628280-24-041309	/s/ Jamie Chung, Attorney-in-Fact	25-SEP-2024
0001127602-24-024437	/s/ Susan L. Rager-Parr, attorney-in-fact for Rachel Lynn Smydo	25-SEP-2024
0001654954-24-012308	/s/ Roger L. Smith Roger L. Smith pursuant to Power of Attorney	25-SEP-2024
0001632790-24-000067	Alisa Diakova Attorney in Fact For: Sara B. Hampton	25-SEP-2024
0001654954-24-012305	/s/ Roger L. Smith Roger L. Smith pursuant to Power of Attorney	25-SEP-2024
0001225208-24-008840	Elizabeth D. Tice Attorney-in-Fact	25-SEP-2024
0001213900-24-081844	/s/ James J. Comitale as Attorney-In-Fact	25-SEP-2024
0001213900-24-081843	/s/ James J. Comitale as Attorney-In-Fact	25-SEP-2024
0000950170-24-109378	/s/ Kerry Vyverberg as attorney-in-fact for Mary A. Lindsey	25-SEP-2024
0000050725-24-000126	/s/ Seth L. Kaplan, as attorney-in-fact	25-SEP-2024
0001437749-24-029993	/s/ Jennifer Staub, pursuant to power of attorney	25-SEP-2024
0001104659-24-102840	/s/ David Jin, Attorney-in-Fact	25-SEP-2024
0000050725-24-000125	/s/ Seth L. Kaplan, as attorney-in-fact	25-SEP-2024
0001437749-24-029990	/s/ Jennifer Staub, pursuant to power of attorney	25-SEP-2024
0001104659-24-102839	/s/ David Jin, Attorney-in-Fact	25-SEP-2024
0001437749-24-029988	/s/ Jennifer Staub, pursuant to power of attorney	25-SEP-2024
0001415889-24-023966	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0000950103-24-013937	By: /s/ Joshua Harris	25-SEP-2024
0000950103-24-013937	By: MJH Partners II LLC, By: /s/ Joshua Harris, Authorized Signatory	25-SEP-2024
0001437749-24-029986	/s/ Jennifer Staub, pursuant to power of attorney	25-SEP-2024
0001437749-24-029984	/s/ Elliot Noss	25-SEP-2024
0001437749-24-029983	/s/ Jennifer Staub, pursuant to power of attorney	25-SEP-2024
0001104659-24-102837	/s/ David Jin, Attorney-in-Fact	25-SEP-2024
0001127602-24-024436	/s/ Sarah Dale, Attorney-in-Fact for Brian Millham	25-SEP-2024
0001104659-24-102836	/s/ David Jin, Attorney-in-Fact	25-SEP-2024
0001437749-24-029981	/s/ Jennifer Staub, pursuant to power of attorney	25-SEP-2024
0001415889-24-023965	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0001104659-24-102835	/s/ David Jin, Attorney-in-Fact	25-SEP-2024
0001104659-24-102834	/s/ David Jin	25-SEP-2024
0001415889-24-023964	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0001104659-24-102833	/s/ David Jin, Attorney-in-Fact	25-SEP-2024
0001415889-24-023963	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0001528396-24-000141	By: /s/ Winston King, Attorney-in-Fact for Mark V Anquillare	25-SEP-2024
0001225208-24-008839	Isabel Ryan, as Attorney-in-Fact for Grace H Park	24-SEP-2024
0001415889-24-023962	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0001528396-24-000140	By: /s/ Winston King, Attorney-in-Fact for Mark V Anquillare	25-SEP-2024
0001104659-24-102832	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001127602-24-024434	/s/ Sarah Dale, Attorney-in-Fact for Parker Harris	25-SEP-2024
0001104659-24-102831	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001415889-24-023961	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0000950170-24-109373	/s/ Andrew H. Everett II, Attorney-in-Fact	25-SEP-2024
0001104659-24-102829	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001104659-24-102827	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0000897069-24-001888	/s/ Robert E. Riva by Power of Attorney	25-SEP-2024
0001415889-24-023960	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0001104659-24-102826	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001047127-24-000193	Mark N. Rogers, Attorney-in-Fact for David N. Watson	25-SEP-2024
0001104659-24-102825	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001777393-24-000164	/s/ Natella Novruzova - Attorney-in-Fact	25-SEP-2024
0001104659-24-102824	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001104659-24-102822	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001415889-24-023959	/s/ Dov A. Goldstein as attorney-in-fact	25-SEP-2024
0001104659-24-102821	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001047127-24-000191	Mark N. Rogers, Attorney-in-Fact for Gil C. Tily	25-SEP-2024
0001437749-24-029976	/s/Laura L. Taylor, by Power of Attorney	25-SEP-2024
0001104659-24-102819	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001104659-24-102818	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001104659-24-102817	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001104659-24-102816	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001415889-24-023958	/s/ Dov A. Goldstein	25-SEP-2024
0001104659-24-102815	/s/ Kathleen Lenox, attorney-in-fact	25-SEP-2024
0001415889-24-023957	/s/ Samuel Berry, Attorney-in-Fact	25-SEP-2024
