ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000089800-24-000114	2233245	Common Stock				15366.0				I		By Spouse	
0000089800-24-000114	2233244	Common Stock				1103.67	F2			I		401(k) Plan	
0001996862-24-000239	2231275	Common Stock				5000.0				I		John W. Neppl Trust dtd 5/22/2013	
0001996862-24-000239	2231274	Common Stock				10000.0				I		KJN Trust dtd 05/22/2013	
0001127602-24-023450	2232476	Common Stock				39524.43				I		by Family Trust	
0000950103-24-013192	2230975	Class A Common Stock				8622.0				I		By Olivan D LLC	F2
0000950103-24-013192	2230976	Class A Common Stock				2999.0				I		By Olivan Reinhold D LLC	F3
0000950103-24-013192	2230978	Class A Common Stock				75044.0				I		By Olivan Reinhold Family Revocable Trust u/a/d 10/16/12	F5
0000950103-24-013192	2230977	Class A Common Stock				8622.0				I		By Reinhold D LLC	F4
0001996862-24-000236	2234881	Common Stock				6500.0				I		Zenuk Family Living Trust u/a/d 09/01/2015	
0001996862-24-000235	2234589	Common Stock				6400.0				I		Bernardo Vieira Hees Revocable Trust DTD 04/01/2019	
0001437749-24-028440	2233720	Common Stock				31077.0				D		Held in IRA	
0001437749-24-028440	2233721	Common Stock				8786.0				I			
0001062993-24-016150	2231756	Common Stock				500.0				I		By Spouse	
0001526513-24-000006	2235006	Common Stock				105284.0				D		See Footnote	F1
0001526513-24-000006	2235007	Common Stock				1203334.0				I			
0001062993-24-016145	2230791	Common Stock				7500.0				I		By 10031696 Manitoba Ltd.	
0000109563-24-000087	2232801	Common Stock				32.95				I		Retirement Savings Plan	
0000089800-24-000113	2233197	Common Stock				57912.96	F4			I		401(k) Plan	
0001058290-24-000299	2230380	Class A Common Stock				800.0				I		By Parent's Estate	F5
0001213900-24-075683	2231621	Class A Common Stock				123114.0				D			
0001213900-24-075680	2233142	Class B Common Stock				1927732.0				D		By trust.	
0001213900-24-075680	2233143	Class B Common Stock				1778989.0				I	F1		
0001683168-24-006196	2231042	Common Stock				2666.0				I		by Spouse	
0000950170-24-103589	2231620	Common Stock, par value $0.01 per share				14593.0				I		by Spousal Lifetime Access Trust	
0001526513-24-000005	2232991	Common Stock				37935.0				D			
0001733998-24-000111	2234107	Common Stock				6580.29				I		See Footnote	F2
0001733998-24-000111	2234108	Common Stock				195.58				I		See Footnote	F3
0001212545-24-000249	2231660	Common Stock				10797.0				I		William R. Boyd Subtrust of The Boyd 2005 Irrevocable Trust dated April 15, 2005	
0001212545-24-000249	2231661	Common Stock				19913.0				I		Sean William Johnson Inheritance Trust	
0001212545-24-000249	2231658	Common Stock				7714.0				I		Marianne Boyd Johnson Subtrust of the Boyd 2005 Irrevocable Trust dated April 14, 2005	
0001212545-24-000249	2231663	Common Stock				4010189.0	F1			I		SMW WAL Irrevocable Trust, dated March 13, 2023	
0001212545-24-000249	2231657	Common Stock				149634.0				I		The Marianne E. Boyd Trust, dated January 9, 2007	
0001212545-24-000249	2231659	Common Stock				7714.0				I		Samuel J. Boyd Subtrust of the Boyd 2005 Irrevocable Trust dated April 14, 2005	
0001212545-24-000249	2231662	Common Stock				148525.0				I		WSB-WAL LLC	
0001212545-24-000249	2231656	Common Stock				2475.0				I		Samuel J. Johnson (spouse)	
0001683168-24-006195	2230393	Common Stock, no par value				24567.0				D			
0001683168-24-006191	2234479	Common Stock, no par value				1804.0				I		By Amy Feldman Trust	
0001683168-24-006188	2233743	Common Stock, no par value				500000.0				I		See footnote	F4
0001683168-24-006188	2233741	Common Stock, no par value				22216.0				I		See footnote	F2
0001683168-24-006188	2233742	Common Stock, no par value				4636.0				I		See footnote	F3
0001628280-24-039387	2232859	Class A Common Stock				499886.53				D		See FN	F1
0001628280-24-039387	2232860	Class A Common Stock				63326.0				I		See  FN	F1
0001628280-24-039387	2232861	Class A Common Stock				42918.0				I			
0001127602-24-023443	2233989	Class B Common Stock				2870.0				I		by Retirement Plan	F3
0001522767-24-000072	2230304	Common stock				2000000.0				I		By the Shaw Family Trust	F3
0000902664-24-005428	2231251	Common Stock				3964.0				D			
0000902664-24-005427	2231617	"Common Stock, par value $1.00 per share (""Common Stock"")"				19162.0				D			
0001127602-24-023441	2235015	Common Stock				7744.96	F2			I		By 401(k)	
0001127602-24-023441	2235016	Common Stock				411954.0				D			
0000950170-24-103547	2231898	Common Stock				62257.0	F2			D			
0001274737-24-000085	2231009	Common Stock				27194.0				D			
0001415889-24-022807	2230974	Common Stock				29610.0				I		IRA	
0001437749-24-028425	2232955	Common Stock				6060.0				I		By Daughter's IRA	F3
0001327749-24-000085	2232971	Class B Common Stock				4708570.0				D			
0001169561-24-000118	2233196	No securities beneficially owned.				0.0				D			
0000902664-24-005425	2233707	Common Stock				20359.0				D	F5		
0001628280-24-039371	2232942	Common Shares				36600.0				I		By a revocable trust	
0000950103-24-013171	2231513	Ordinary Shares				166924.0	F1			D		By Spouse	
0000950103-24-013171	2231514	Ordinary Shares				9624.0				I			
0000950170-24-103533	2234940	Common Stock				5000.0				D			
0001048268-24-000105	2233791	Common Stock				6000.0				I		Held in IRA	
0001127602-24-023425	2230585	Common Stock				391151.0				I		By Joint Trust	
0001127602-24-023425	2230584	Common Stock				12442.85	F2			I		By 401(k)	
0001062993-24-016114	2231441	Common Stock				3306.0				I		401K Plan	
0001733998-24-000107	2230873	No securities are beneficially owned.				0.0				D			
0001140361-24-040092	2232261	Common Stock				8573437.0				I		By Qumra Capital II, L.P.	F2
0001628280-24-039366	2232656	Common Stock				17640.0				I		See Footnote	F3
0001840776-24-000194	2230591	Class A Common Stock				53474.0				D			
0001628280-24-039363	2233785	Common Stock				373925.0				I		See Footnote	F3
0001628280-24-039360	2231434	Common Stock				318268.0				I		See footnote	F3
0001127602-24-023422	2231988	Common Stock				568655.0				D			
0001127602-24-023422	2231987	Common Stock				5363.25	F2			I		By 401(k)	
0001045810-24-000266	2233656	Common Stock				604387280.0				I		By Trust	F18
0001045810-24-000266	2233657	Common Stock				49489560.0				I		By Partnership	F19
0001045810-24-000266	2233658	Common Stock				22280000.0				I		By Irrevocable Trust	F20
0001045810-24-000266	2233659	Common Stock				50078000.0				I		By Irrevocable Remainder Trust	F21
0001045810-24-000266	2233660	Common Stock				29684280.0				I		The Lori Lynn Huang 2016 Annuity Trust II Agreement	
0001045810-24-000266	2233661	Common Stock				29684280.0				I		The Jen-Hsun Huang 2016 Annuity Trust II Agreement	
0001437749-24-028419	2231106	Common Stock				9676.0				I		By IRA	
0001127602-24-023418	2233828	Common Stock				2322.36	F2			I		By 401(k)	
0001127602-24-023418	2233829	Common Stock				328129.0				D			
0001062993-24-016112	2232920	Common Stock				1049.0				I		By ESOP Trust	
0001415889-24-022795	2233377	Subordinate Voting Shares				70285.0				I		Richard A. Reisin Revocable Trust	
0001437749-24-028417	2231959	Common Stock				823863.0	F3			I		FRMO Corp.	
0001437749-24-028417	2231960	Common Stock				6900.0	F4			I		Kinetics Institutional Partners LP	
0001437749-24-028417	2231958	Common Stock				8216437.0	F2			I		Horizon Common Inc.	
0001437749-24-028417	2231962	Common Stock				951.0	F4			I		Horizon kinetics Asset Management LLC	
0001437749-24-028417	2231961	Common Stock				5810.0	F4			I		Kinetics Partners LP	
0001127602-24-023413	2233366	Common Stock				418.0				I		By Wife	
0001127602-24-023413	2233365	Common Stock				59.0				I		By Daughter	
0001467373-24-000256	2234449	Class A ordinary shares				34.0				I			
0001467373-24-000256	2234448	Class A ordinary shares				6002.0				D		Held by an Immediate Family Member	
0001903601-24-000091	2231174	COMMON STOCK				7200.0				I		BY IMMEDIATE FAMILY MEMBER 2	F1
0001903601-24-000091	2231173	COMMON STOCK				5000.0				I		BY IMMEDIATE FAMILY MEMBER 1	F1
0001903601-24-000091	2231175	COMMON STOCK				4200.0				I		BY TRUST	F2
0001437749-24-028415	2232843	Common Stock				951.0	F4			I		Horizon kinetics Asset Management LLC	
0001437749-24-028415	2232841	Common Stock				6900.0	F4			I		Kinetics Institutional Partners LP	
0001437749-24-028415	2232840	Common Stock				823863.0	F3			I		FRMO Corp.	
0001437749-24-028415	2232839	Common Stock				8216437.0	F2			I		Horizon Common Inc.	
0001437749-24-028415	2232842	Common Stock				5810.0	F4			I		Kinetics Partners LP	
0001140361-24-040081	2233932	Common Stock				1273690.0				D	F2	By Braunstein 2015 Trust	F2
0001140361-24-040081	2233934	Common Stock				11340600.0				I			
0001140361-24-040081	2233933	Common Stock				1000756.0				I		See Footnotes	F3, F4
0000950170-24-103478	2232650	Common Stock				15755000.0				D			
0000950170-24-103471	2234250	Common Stock				19220.0	F2			D			
0001415889-24-022790	2231690	Common Stock				18600.0				I		Carr Bettis IRA	F4
0001415889-24-022790	2231689	Common Stock				425045.0				I		CSB IV US Holdings LLC	F3
0001467373-24-000255	2232960	Class A ordinary shares				5769.0				D			
0001104659-24-096918	2230605	Common Stock				14500.0	F6			I		By Spouse	
0001437749-24-028408	2231933	Common stock, no par value				3547181.0				I		Trust/Retirement Plans	F1
0001437749-24-028408	2231932	Common stock, no par value				3547181.0				I		Trust/Retirement Plans	F1
0000950170-24-103458	2232190	Common Stock				0.0				D			
0002036177-24-000002	2230885	Common Stock				531000.0				D			
0000950170-24-103457	2233789	Common Shares				10549.0				I		By Spouse	
0000950170-24-103456	2234450	Common Stock				4083.51				D			
0001834622-24-000109	2232162	Common Stock				700.0				I		By Child A	
0001834622-24-000109	2232163	Common Stock				700.0				I		By Child B	
0001834622-24-000109	2232164	Common Stock				700.0				I		By Child C	
0001903601-24-000090	2234384	COMMON STOCK				183000.0				I		BY TRUST	F4
0001903601-24-000090	2234383	COMMON STOCK				202000.0				I		BY TRUST	F3
0001903601-24-000090	2234382	COMMON STOCK				3267976.0				I		BY LLC	F2
0001903601-24-000090	2234381	COMMON STOCK				107000.0				I		BY TRUST	F1
0000950170-24-103449	2234971	Common Stock				97038.0	F3			D			
0000950170-24-103449	2234970	Common Stock				19220.0	F2			D			
0000950170-24-103448	2232940	Common Stock				19220.0	F2			D			
0000905148-24-002501	2231902	Class A Common Stock				285071.0	F6			D			
0000905148-24-002501	2231901	Class A Common Stock				4546687.0				I		See footnotes	F4, F5
0000950170-24-103447	2232933	Common Stock				13561.02				I		Through the Trustee for the Corporation's 401(k) Plan	
0001225208-24-008455	2234628	Common Stock, par value $0.01				15657.0				D			
0001104659-24-096910	2234907	Common Stock				38673.0				I		Spouse	
0001441816-24-000190	2234218	Class A Common Stock				522896.0				I		By Trust	F3
0001225208-24-008454	2235011	Common Stock				238.0				I		By Family LLC	
0001225208-24-008454	2235012	Common Stock				238370.0				I		By Irrevocable Trust	
0001225208-24-008454	2235013	Common Stock				1254419.0				I		By Revocable Trust	
0000950170-24-103431	2235073	Common Shares				126223.0				D			
0001225208-24-008446	2230439	Common Stock				3000.0				I		by Sanfilippo Family Trust	
0001225208-24-008442	2233261	Common Stock				174.0				I		By Spouse	
0001841794-24-000015	2234106	Class A Common Stock				171520.0				D	F4		
0001467373-24-000254	2234233	Class A ordinary shares				6.0				D			
0001415889-24-022778	2233199	Subordinate Voting Shares				294718.0				I		By Amy B. Goldman Trust	
0001415889-24-022778	2233198	Subordinate Voting Shares				45013.0				I		By Peter D. Goldman Trust	
0001127602-24-023402	2231665	Common Stock				151933.0				I		By Trust	F3
0001127602-24-023402	2231664	Common Stock				4116.0				I		By Valhalla, LLC	
0001467373-24-000253	2231103	Class A ordinary shares				2315.0				D			
0001679788-24-000165	2230704	Class A Common Stock				21726.0				I		By Sixers LLC	F12
0001679788-24-000165	2230703	Class A Common Stock				23199.0				I		By Starvurst Non-Exempt Trust	F11
0001679788-24-000165	2230702	Class A Common Stock				49643.0				I		By Starvurst Exempt Trust	F10
0001225208-24-008437	2232640	Common Stock (Indirect)				39779.29				I		By 401k	
0001043337-24-000110	2232000	Common Shares, without par value				1046.0				D			
0000950170-24-103419	2231878	Common Shares				70.0	F3			I		By Son	
0000040545-24-000188	2233408	Common Stock				5.0				I		by decendant's trust	
0000040545-24-000188	2233407	Common Stock				225.0				I		by spouse	
0000950170-24-103415	2233045	Common Shares				41387.0	F3			I		by Trust	
0001628280-24-039321	2234240	Common Stock				137693.0				I		Kevin S. Moore, Trustee, The Kevin Scott Moore 2011 Revocable Living Trust dated September 13, 2011	
0000950170-24-103408	2230533	Common Stock				1972875.0				I		See footnote	F3
0000950170-24-103408	2230536	Common Stock				652500.0				I		See footnote	F6
0000950170-24-103408	2230535	Common Stock				652500.0				I		See footnote	F5
0000950170-24-103408	2230534	Common Stock				652500.0				I		See footnote	F4
0001555280-24-000301	2233026	Common Stock				16854.0	F1			I		By trust	F2
0001555280-24-000301	2233028	Common Stock				2840.0				I		By  trust	F4
0001555280-24-000301	2233027	Common Stock				6160.0				I		By trust	F3
0001445305-24-000122	2234643	Class A Common Stock				341869.0				I		By living trust	
0000875320-24-000212	2231005	Common Stock				440.0				I		401(k)	
0001225208-24-008432	2234585	Common Stock				13813.0				I		By Trust	
0000897069-24-001815	2233265	Common Stock - Restricted Stock Units				2275.81	F3, F2			D			
0001465740-24-000186	2230785	Common stock, par value $0.01 per share				2882.0				D			
0001127602-24-023393	2232485	Class A Common Stock				211316.0				I		Ryan and Angela McInerney Trust	
0001628280-24-039313	2234200	Ordinary Shares				1270000.0				I		By Zhan BVI Co Ltd	F2
0001628280-24-039313	2234199	Ordinary Shares				720000.0				I		By Chung BVI Co Ltd	F2
0001999371-24-011331	2231670	Class A Common Stock				42949.0				D			
0000950170-24-103391	2233294	Common Stock				2038632.0				D			
0001410384-24-000180	2230356	Common Stock				44519.0	F6			D			
0001736297-24-000029	2231718	Common Stock				2704335.0	F13			D			
0001888316-24-000055	2233263	Common Stock				45453.0				I		by Spouse's Trust	F2
0001888316-24-000055	2233264	Common Stock				45453.0				I		by Trust	F2
0001628280-24-039301	2231189	Ordinary Shares				2673618.0				I		The Brennan Family Trust, DTD 09/06/2002	F2
0001638833-24-000139	2231773	Common Stock				55503.0				D			
0001657853-24-000119	2232604	Common Stock				1000.0				D			
0001213900-24-075595	2231350	Common Stock				3309649.0				D			
0000950170-24-103383	2232303	Common Stock				1012.0				I		By Kase Gabriel Richison 2022 Irrevocable Trust	F9
0000950170-24-103383	2232304	Common Stock				1012.0				I		By Sage Elizabeth Richison 2022 Irrevocable Trust	F10
0000950170-24-103383	2232306	Common Stock				253.0				I		By Ava L. Richison 2012 Irrevocable Trust	F12
0000950170-24-103383	2232307	Common Stock				253.0				I		By Ian D. Richison 2012 Irrevocable Trust	F13
0000950170-24-103383	2232308	Common Stock				56.0				I		By Abrie R. Richison 2012 Irrevocable Trust	F14
0000950170-24-103383	2232309	Common Stock				12500.0				I		By Charis Michelle Richison Trust	F15
0000950170-24-103383	2232302	Common Stock				1012.0				I		By Lane West Richison 2022 Irrevocable Trust	F8
0000950170-24-103383	2232301	Common Stock				1012.0				I		By Rome West Pedersen 2023 Irrevocable Trust	F7
0000950170-24-103383	2232300	Common Stock				1012.0				I		By Faye Penelope Richison 2023 Irrevocable Trust	F6
0000950170-24-103383	2232305	Common Stock				1012.0				I		By Charles Banks Pedersen 2022 Irrevocable Trust	F11
0000950170-24-103382	2234746	Common Stock				5795364.0				I		See footnote	F6, F5
0001477932-24-005507	2233248	Common Stock				10400.0				I		By Spouse	
0001477932-24-005506	2232390	Common Stock				38113.0				I		By Borlaug Limited	F2
0001477932-24-005506	2232389	Common Stock				55000.0				I		By Spouse	
0001477932-24-005505	2230958	Common Stock				154503.0				I		By son	
0001477932-24-005505	2230959	Common Stock				154504.0				I		By daughter	
0001477932-24-005505	2230957	Common Stock				154503.0				I		By son	
0001477932-24-005505	2230960	Common Stock				154504.0				I		By daughter	
0001477932-24-005505	2230955	Common Stock				1400000.0				I		By The Innes Family Bare Trust 2023	F2
0001477932-24-005505	2230956	Common Stock				356000.0				I		By The Dill Faulkes Educational Trust Limited	F3
0001477932-24-005503	2230869	Common Stock				5000.0				I		By spouse	
0001477932-24-005503	2230870	Common Stock				32500.0				I		By Armori Capital Management, LLC	F2
0001477932-24-005502	2234114	Common Stock				1007718.0				I		By Concord International, Inc.	F2
0001477932-24-005502	2234115	Common Stock				34076.0				I		By Spouse	
0001477932-24-005499	2233618	Common Stock				29406.0				I		By Spouse	
0001477932-24-005497	2232929	Common Stock				99350.0				D	F2		
0001477932-24-005496	2234563	Common Stock				1007718.0				I		By Concord International, Inc.	F2
0001683168-24-006171	2232551	Common Stock				1325000.0				I		Through Lebda Family Holdings, LLC	F3
0001683168-24-006171	2232549	Common Stock				4130.0				I		By Spouse	F2
0001683168-24-006171	2232552	Common Stock				12524.0				I		Through Lebda Family Holdings II, LLC	F3
0001683168-24-006171	2232553	Common Stock				300000.0				I		Through 2021 Lebda Family Holdings LLC	F3
0001683168-24-006171	2232550	Common Stock				433159.0				I		Through 2022 Lebda Family Holdings, LLC	F3
0001477932-24-005493	2231068	Common Stock				30556.0				I		By Spouse	
0001287032-24-000290	2231449	COMMON STOCK				317193.35				I		By Spouse	
0001127602-24-023389	2231601	Common Stock				395989.0				I			
0001127602-24-023389	2231600	Common Stock				290397.0				I		Held by Pioneer Service Corporation	
0001127602-24-023389	2231599	Common Stock				12558.0				I		Held by Kemper Realty	
0001127602-24-023389	2231598	Common Stock				21460.0				I		By Trust: Mary S Hunt Trust	
0001127602-24-023389	2231597	Common Stock				1000.0				I		By Trust - TUW RC Kemper For John Mariner	
0001127602-24-023389	2231596	Common Stock				2281.48				I		By Son - Custodial Brokerage Account	
0001127602-24-023389	2231595	Common Stock				1000.0				I		By Esop	
0001127602-24-023389	2231594	Common Stock				257796.22				D		By Daughter - Custodial Brokerage Account	
0000950170-24-103365	2234386	Common Stock				46540.0				D			
0001437749-24-028391	2234960	Common Stock				27262.0	F1			D		Held in IRA	
0001437749-24-028391	2234961	Common Stock				7156.0	F2			I			
0001127602-24-023388	2230527	Common Stock				4352.41				I		Supplemental Plan	F1
0001437749-24-028385	2230685	Common Stock				823863.0	F4			I		FRMO Inc.	
0001437749-24-028385	2230683	Common Stock				5810.0	F3			I		Kinetics Partners LP	
0001437749-24-028385	2230684	Common Stock				951.0	F3			I		Horizon Kinetics Asset Management LLC	
0001437749-24-028385	2230682	Common Stock				6900.0	F3			I		Kinetics Institutional Partners LP	
0001437749-24-028385	2230681	Common Stock				8216437.0	F2			I		Horizon Common Inc.	
0001437749-24-028385	2230686	Common Stock				3.0				I		Spouse	
0001437749-24-028383	2230508	Common Stock				563722.0				I		By Trust	
0001437749-24-028383	2230509	Common Stock				40363.0				I		By Spouse	
0001437749-24-028383	2230510	Common Stock				10926.0				I		By Partnership	
0001437749-24-028383	2230511	Common Stock				1001538.0				I		By Company A	
0001437749-24-028383	2230513	Common Stock				20000.0				I		By Company C	
0001437749-24-028383	2230512	Common Stock				40000.0				I		By Company B	
0001079973-24-001337	2231871	Common Stock				112066.0				I		By Dolphin Entertainment, LLC	F2
0001079973-24-001337	2231872	Common Stock				124210.0				I		By Dolphin Digital Media Holdings, LLC	F3
0000950170-24-103316	2234943	Common Stock				31025.0				D			
0000104918-24-000079	2230282	Common Stock in Profit Sharing Plan				9248.0				I		Shares Held by Trustee	
0001866757-24-000144	2230272	Class A Common Stock				397445.0	F1			D			
0001866757-24-000144	2230273	Class B Common Stock				454438.0	F2			D			
0001474506-24-000200	2231289	Common Stock				1296.0				I		Held in 401k	
0001482512-24-000086	2230270	Common Stock, par value $0.01				4500.0				I			
0001482512-24-000086	2230269	Common Stock, par value $0.01				175043.0				D		By limited partnership	
0001482512-24-000086	2230268	Common Stock, par value $0.01				224500.0				I		By limited liability company.	
0001437749-24-028372	2230291	Common Stock				16647.0	F1			I		CDK Fund Ltd	
0001437749-24-028372	2230290	Common Stock				7452.0	F1			I		CDK Partners LP	
0001437749-24-028372	2230289	Common Stock				4416.0	F1			I		Horizon Kinetics Hard Assets II LLC	
0001437749-24-028372	2230292	Common Stock				180.0	F1			I		Spouse	
0001437749-24-028370	2230293	Common Stock				1933.0				I		By ESOP	
0001437749-24-028370	2230294	Common Stock				7000.0				I		By 401(k)	
0001127602-24-023382	2230281	Common Stock, par value $.10				216900.0				I		By Venture Limited Partnership	F6
0001127602-24-023382	2230279	Common Stock, par value $.10				2637700.0				I		By Business Limited Partnership	F4
0001127602-24-023382	2230280	Common Stock, par value $.10				560259.0				I		By Children or As Trustee For Children	F5
0001127602-24-023382	2230278	Common Stock, par value $.10				2481.17				I		By 401(k)	F3
0001127602-24-023381	2230263	Common Stock, par value $.10				2573100.0				I		By Business Limited Partnership	F4
0001127602-24-023381	2230262	Common Stock, par value $.10				7210.66				I		By 401(k)	F3
0001127602-24-023381	2230264	Common Stock, par value $.10				249765.0				I		By Children or As Trustee For Children	F5
0001127602-24-023381	2230265	Common Stock, par value $.10				25119.0				I		By Spouse	F6
0001127602-24-023381	2230266	Common Stock, par value $.10				396000.0				I		By Venture Limited Partnership	F7
0001127602-24-023366	2230286	Common Stock				474.64	F1			I		By 401(k)	
0001127602-24-023366	2230287	Common Stock				6527872.0				I		By Spouse	F2
0001127602-24-023366	2230288	Common Stock				17934.0				I		By Trust	F3
0001683168-24-006167	2230275	Common Stock				31393239.0				D		Tri Power Resources	
0001683168-24-006167	2230276	Common Stock				5655500.0				I		Redwood Microcap Fund	
0001683168-24-006167	2230277	Common Stock				500000.0				I			
0001518715-24-000164	2230283	Common Stock				16923.2				D			
0001518715-24-000162	2230267	Common Stock				185071.0				D			
0001193805-24-001082	2230285	Common Stock, $0.0001 par value	F1			160000.0				I		By: Voss Value-Oriented Special Situations Fund, L.P.	F3
0001193805-24-001082	2230284	Common Stock, $0.0001 par value	F1			975000.0				I		By: Voss Value Master Fund, L.P.	F2
0001493152-24-034938	2230271	COMMON				323123.0				D			
0001654954-24-011460	2230295	Common Stock, par value $0.01 per share				1697695.0				D	F1		
0001517737-24-000098	2230296	Common Stock				308791.0				I		by Family Trust	
0001517737-24-000098	2230297	Common Stock				14500.0				I		by Partnership	
0001628280-24-039249	2230274	$5 Par Common Stock				2666.0				I		401(k) Plan	
0001225208-24-008372	2230051	Common Stock				2343.0				D			
0001225208-24-008371	2229913	Common Stock				42671.0	F1			I		By Trust	
0001225208-24-008369	2229934	Common Stock				1351.0				D			
0001225208-24-008368	2230135	Common Stock				1347.1				D			
0001225208-24-008367	2229915	Common Stock				1351.0				D			
0001225208-24-008366	2230210	Common Stock				47187.0				D			
0001225208-24-008365	2230179	Common Stock				19741.79	F1			D			
0001062993-24-016055	2230160	Humana Common				496.0				I		See Footnote	F1
0001415889-24-022725	2229946	Common Stock				831600.0				I		Voting or Investment Control	F2
0001062993-24-016053	2230178	Common Stock	F1			7776.0				D			
0001127602-24-023358	2229900	Common Stock				1980.0				D			
0001225208-24-008344	2230255	Common Stock				1254419.0				I		By Revocable Trust	
0001225208-24-008344	2230253	Common Stock				238.0				I		By Family LLC	
0001225208-24-008344	2230254	Common Stock				238370.0				I		By Irrevocable Trust	
0001062993-24-016043	2229910	Common Stock				7500.0				I		By family trusts	
0001062993-24-016199	2234916	Common Stock				2150331.0				I		SC US/E Expansion Fund I Management, L.P.	F3, F2, F4
0001062993-24-016199	2234917	Common Stock				4405162.0				I		Sequoia Capital Global Growth Fund II, L.P.	F3, F2, F4
0001062993-24-016199	2234918	Common Stock				68020.0				I		Sequoia Capital Global Growth II Principals Fund, L.P.	F3, F2, F4
0001062993-24-016199	2234919	Common Stock				351374.0				I		Sequoia Capital Global Growth Fund III - Endurance Partners, L.P.	F3, F2, F4
0000950103-24-013220	2233609	Ordinary Shares				9624.0				I		By Spouse	
0001062993-24-016199	2234921	Common Stock				164955.0				I		Sequoia Capital U.S. Growth VII Principals Fund, L.P.	F3, F2, F4
0001062993-24-016199	2234922	Common Stock				1000000.0				I		Sequoia Capital US/E Expansion Fund I, L.P.	F3, F2, F4
0001062993-24-016199	2234923	Common Stock				1217532.0				I		SCGGF III - U.S./India Management, L.P.	F3, F2, F4
0001062993-24-016199	2234924	Common Stock				14185.0				I		Sequoia Grove UK, L.P.	F5
0001062993-24-016199	2234920	Common Stock				1774756.0				I		Sequoia Capital U.S. Growth Fund VII, L.P.	F3, F2, F4
0001062993-24-016034	2229944	Common Stock				82758.0				D			
0001437749-24-028324	2229975	Common Stock				885714.0				I		Shares subject to performance related fee	F8
0001437749-24-028324	2229974	Common Stock				1400826.0				I		Shares held through MHW SPV II, LLC	F7
0001262976-24-000086	2229923	Ordinary Shares				43128.0	F8			I		By Western Irrevocable, LLC	
0001262976-24-000086	2229924	Ordinary Shares				47088.0	F8			I		By Delaware 2001, LLC	
0001262976-24-000086	2229926	Ordinary Shares				780000.0				I			
0001262976-24-000086	2229922	Ordinary Shares				28375.0				I		By Eastern Irrevocable, LLC	
0001262976-24-000086	2229921	Ordinary Shares				220503.0				I		By RHS Delaware Holdings LLC	
0001262976-24-000086	2229920	Ordinary Shares				23451.0				D		By Keane Family Foundation	
0001262976-24-000086	2229925	Ordinary Shares				51900.0				I		By Second Delaware 2003, LLC	
0001244352-24-000003	2229978	COMMON SHARES OF LIMITED LIABILITY COMPANY INTERESTS				80557.0	F1			I		These shares are held indirectly in an Individual Retirement Account.	
0001495231-24-000161	2229895	Common Stock				1.0				I		By Spouse	
0001495231-24-000161	2229894	Common Stock				3282.0				I		By Dogfish Ventures LLLP	F2
0000354963-24-000233	2229943	Common Stock				38.0				I		Spouse	
0001321655-24-000155	2229977	Class A Common Stock				8130.0				I		See Footnote	F2
0001171843-24-005045	2230088	Common Shares				32609.0				I		Held by The New Nijhawan Family Trust 2015	F3
0001171843-24-005045	2230089	Common Shares				32013.0				I		Held by The Digestive Health Clinic Inc.	F2
0001171843-24-005045	2230090	Common Shares				53104.0				I		Held by 1968160 Ontario Inc.	F2
0001171843-24-005045	2230087	Common Shares				341702.0				I		Held by Pardeep Nijhawan Medicine Professional Corporation	F2
0001514416-24-000166	2229936	Class A Common Stock				1625.0				I		By IRA	
0001225208-24-008342	2230192	Common				83.0				D		By Spouse	
0001225208-24-008342	2230193	Common				716.0				I		John M. Wasson GRAT	
0001225208-24-008342	2230194	Common				30535.0				I			
0001683168-24-006156	2229951	Common Stock, no par value				75000.0				I		See footnote	F5
0001683168-24-006156	2229952	Common Stock, no par value				27343.0				I		See footnote	F6
0001877255-24-000026	2230251	Common stock, $0.001 par value per share				894000.0				D			
0001877255-24-000026	2230250	Common stock, $0.001 par value per share				10638.0				I		By Somerset Operating Company, LLC	F6
0001877255-24-000026	2230249	Common stock, $0.001 par value per share				654706.0				I		By Lucky Liefern LLC	F5
0001877255-24-000026	2230248	Common stock, $0.001 par value per share				5000.0				I		By Heorot Power Holdings LLC	F4
0001877255-24-000026	2230247	Common stock, $0.001 par value per share				260513.0				I		By Beowulf Electricity & Data Inc.	F3
0001214659-24-015911	2229953	Common Stock				5331.0				I		Irrevocable Trust FBO Theodore F. Blegen	
0001214659-24-015911	2229954	Common Stock				5331.0				I		Irrevocable Trust FBO Sarah N. Blegen	
0001628280-24-039199	2230032	Class A Common Stock				5924595.0				I		The Dmitry Melnikov Grantor Retained Annuity Trust - Three	F6
0001628280-24-039199	2230033	Class A Common Stock				1346975.0				I		The Dmitry Melnikov Grantor Retained Annuity Trust - Four	F7
0001628280-24-039199	2230031	Class A Common Stock				1337665.0	F4			D		Min Choron LLC	F5
0001628280-24-039199	2230034	Class A Common Stock				1644626.0				I			
